"Query" "Match" "HMDB" "PubChem" "KEGG" "SMILES" "Comment"
"1,3-Diaminopropane" "1,3-Diaminopropane" "HMDB0000002" 428 "C00986" "C(CN)CN" 1
"Levoglucosan" "Levoglucosan" "HMDB0000640" 2724705 NA "C1[C@@H]2[C@H]([C@@H]([C@H]([C@H](O1)O2)O)O)O" 1
"1-Methylhydantoin" "N-Methylhydantoin" "HMDB0003646" 69217 "C02565" "CN1CC(=O)NC1=O" 1
"1-Methyl-L-Histidine" "1-Methylhistidine" "HMDB0000001" 92105 "C01152" "CN1C=C(N=C1)C[C@@H](C(=O)O)N" 1
"QuinolinicAcid" "Quinolinic acid" "HMDB0000232" 1066 "C03722" "C1=CC(=C(N=C1)C(=O)O)C(=O)O" 1
"2-AminoAdipicAcid" "2-aminoadipic acid" "HMDB0302754" 469 "C00956" "NC(CCCC(O)=O)C(O)=O" 1
"2-AminobutyricAcid" "D-Alpha-aminobutyric acid" "HMDB0000650" 439691 "C02261" "CC[C@@H](N)C(O)=O" 1
"2-Deoxyadenosine" "Deoxyadenosine" "HMDB0000101" 13730 "C00559" "C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)CO)O" 1
"2-Deoxycytidine" "Deoxycytidine" "HMDB0000014" 13711 "C00881" "C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O" 1
"2-Deoxyguanosine" "Deoxyguanosine" "HMDB0000085" 187790 "C00330" "C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=O)N)CO)O" 1
"dAMP" "Deoxyadenosine monophosphate" "HMDB0000905" 12599 "C00360" "C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)COP(=O)(O)O)O" 1
"2-Oxoisovalerate" "Alpha-ketoisovaleric acid" "HMDB0000019" 49 "C00141" "CC(C)C(=O)C(=O)O" 1
"2-HydroxybutyricAcid" "2-Hydroxybutyric acid" "HMDB0000008" 11266 "C05984" "CCC(C(=O)O)O" 1
"2-HydroxyphenylAceticAcid" "Ortho-Hydroxyphenylacetic acid" "HMDB0000669" 11970 "C05852" "C1=CC=C(C(=C1)CC(=O)O)O" 1
"2-MethylglutaricAcid" "2-methylglutaric acid" "HMDB0000422" 12046 NA "CC(CCC(O)=O)C(O)=O" 1
"2-Oxobutyrate" "2-Ketobutyric acid" "HMDB0000005" 58 "C00109" "CCC(=O)C(=O)O" 1
"2-Oxoglutarate" "Oxoglutaric acid" "HMDB0000208" 51 "C00026" "C(CC(=O)O)C(=O)C(=O)O" 1
"2-PicolinicAcid" "Picolinic acid" "HMDB0002243" 1018 "C10164" "C1=CC=NC(=C1)C(=O)O" 1
"2-Propanol" "Isopropyl alcohol" "HMDB0000863" 3776 "C01845" "CC(C)O" 1
